timestamp,run_id,reviewer,disposition,suggestion,reason
2026-08-17T15:25:00Z,rev_20260817152233_0ten,antigravity,rejected,Fix median: sort input and average two middle elements (finding incorrect-median-calculation),"Reproduced and confirmed real, but demo/stats.py is a deliberately imperfect fixture (README:113); fixing it would destroy its purpose"
2026-08-17T15:25:00Z,rev_20260817152233_0ten,codex,rejected,Fix median for unsorted input (finding median-unsorted-input),"Reproduced (median([3,1,2])==1), but fixture bugs are intentional per README:113"
2026-08-17T15:25:00Z,rev_20260817152233_0ten,codex,rejected,Average two middle values for even-length input (finding median-even-length),"Reproduced (median([1,2,3,4])==3), but fixture bugs are intentional per README:113"
2026-08-17T15:25:00Z,rev_20260817152233_0ten,codex,rejected,Raise ValueError on empty input (finding median-empty-input),"Reproduced (IndexError on []), but fixture bugs are intentional per README:113"
2026-08-17T15:25:00Z,rev_20260817152233_0ten,codex,rejected,Document accepted value types / iterable support,Fixture is intentionally minimal; docs would reduce its usefulness as a review target
2026-08-17T15:25:00Z,rev_20260817152233_0ten,codex,rejected,Sort a copy to avoid mutating caller input; share length/midpoint across branches,"Applies only to a corrected implementation, which is out of scope for the intentionally broken fixture"
2026-08-17T15:25:00Z,rev_20260817152233_0ten,antigravity,rejected,Use statistics.median from stdlib,Fixture must remain hand-rolled and imperfect to exercise reviewers
2026-08-17T15:25:00Z,rev_20260817152233_0ten,antigravity,rejected,Validate empty sequences with ValueError,Same scope rejection: intentional fixture defect
2026-08-17T15:25:00Z,rev_20260817152233_0ten,antigravity,rejected,Add type annotations (Sequence[float] -> float),Fixture style is untyped throughout; annotations are out of scope
2026-08-17T15:42:00Z,rev_20260817154000_lesk,codex,applied,Fix legacy forwarder corrupting NDJSON stderr under --stream (finding legacy-stream-invalid-ndjson),Reproduced (deprecation line failed JSON.parse); notice now emitted as JSON event when --stream present; verified all stderr lines parse and self-test stays green (commit e7b0f1f)
2026-08-17T15:42:00Z,rev_20260817154000_lesk,codex,applied,CI coverage invoking both legacy forwarders incl. --stream NDJSON validation,Three steps added to self-test.yml; equivalent checks run locally and passed (commit e7b0f1f)
2026-08-17T15:42:00Z,rev_20260817154000_lesk,codex,applied,Update momm/agents/openai.yaml display_name to MOMM branding,display_name was still 'Multi-LLM Review' (slug-only sed missed it); now 'MOMM (Mixture of Model Modality)' (commit e7b0f1f)
2026-08-17T15:42:00Z,rev_20260817154000_lesk,antigravity,applied,Add #!/usr/bin/env node shebang to deprecated forwarder scripts,"Matches convention of the real momm scripts, which both carry shebangs; forwarders verified executable via node (commit e7b0f1f)"
2026-08-17T16:32:00Z,rev_20260817163031_pi25,antigravity,rejected,Add -> list[int] return annotation to count_to_ten,"demo/ convention is untyped (stats.py); file is a verification artifact, not production code"
2026-08-17T16:32:00Z,rev_20260817163031_pi25,copilot,rejected,Add -> list[int] return type hint,duplicate of antigravity suggestion; same convention rejection
2026-08-17T16:32:00Z,rev_20260817163031_pi25,copilot,rejected,Parameterize start/end for reuse,no reuse planned; fixed 1-to-10 behavior is the program's entire specification
2026-08-17T16:32:00Z,rev_20260817163031_pi25,copilot,rejected,Use version-appropriate type hint syntax,"contingent on applying type hints, which were rejected"
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,codex,rejected,Stub-executable self-test for copilot containment/parse/cleanup/timeout/auth,"no adapter has stub-based tests; adapter verified with live runs, and stub infra is out of scope for this change"
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,codex,applied,"Reference artifact.txt relative to temp cwd, not absolute path in prompt",avoids leaking local username to provider; verified live (run rev_20260817163316_dd6i: copilot success ACCEPT via relative path)
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,codex,applied,Mention Copilot in SKILL.md frontmatter description,discovery metadata now matches the four-reviewer default pool; harness picked up new description
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,antigravity,applied,Add github-copilot/gh-copilot aliases in normalizeAgentName,"mirrors agy alias precedent; covered by new self-test normalizes_copilot_aliases, suite green"
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,antigravity,rejected,Doctor: verify gh CLI auth for copilot,copilot uses its own keyring login; gh may be absent on other machines and doctor is evidence-only by design
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,copilot,rejected,Extract shared compactInstructions helper,two occurrences; adapters stay self-contained for reviewability (rule of three)
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,copilot,rejected,Doctor: check config readability not just existence,doctor deliberately probes existence only and never reads credential material (stated caveat)
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,copilot,rejected,Self-test that --available-tools=view is honored,"would require a model call; self-test is zero-model-call by contract, live verification documented instead"
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,copilot,rejected,Standardize 0o600 artifact mode on antigravity adapter,factually incorrect: agy adapter already sets mode 0o600 (multi-review.mjs:417); reviewer claim failed verification
2026-08-17T16:34:00Z,rev_20260817163200_7a8a,copilot,rejected,Doctor: copilot auth status probe like codex_login_status,no verified status subcommand in Copilot CLI 1.0.80; config-presence evidence is the honest probe
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,antigravity,rejected,"Fix median (finding median-unsorted-and-even-length, CRITICAL)",demo/stats.py is the deliberately imperfect fixture (README); planted bug stays
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,rejected,Fix median (finding median-assumes-sorted-odd-input),same fixture rejection
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,applied,Guard preflight against unvalidated --reviewers names (finding preflight-spawns-unvalidated-reviewer),knownAdapters set added; verified: --reviewers foo returns 'no reviewed adapter exists' without spawning
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,applied,Fix UI physical line count (finding ui-physical-line-count-wrong),reproduced via duplicated frames in captured UI output; header now split per physical line; regression self-test ui_redraw_counts_physical_lines green
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,antigravity,applied,Split multiline header in UI buffer (finding terminal-ui-embedded-newlines-cursor-drift),same defect as codex's ui-physical-line-count-wrong; single fix covers both (corroborated in substance)
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,applied,Restore cursor on interruption (finding ui-leaves-cursor-hidden-on-interruption),process exit + SIGINT hooks added; inspection-verified (automated SIGINT test unreliable on Windows)
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,rejected,Validate governor in --preflight branch (finding preflight-bypasses-governor-validation),preflight is deliberately lenient diagnostics; an unrecognized governor name must not block the user from seeing route status
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,applied,Avoid preflight probe latency on reviews,preflight now runs concurrently with dispatch; adds zero latency
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,applied,Distinguish credential evidence from readiness,caveat field added to --preflight output; per-entry auth value already separate from ready
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,codex,applied,Automated multi-frame UI rendering tests with fake stream,createUi accepts injectable stream; ui_redraw_counts_physical_lines self-test renders real frames and asserts cursor math
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,antigravity,rejected,Use statistics.median in fixture,fixture must stay hand-rolled and imperfect
2026-08-17T17:40:00Z,rev_20260817171838_8q9i,antigravity,applied,authEvidence: absent instead of unknown for antigravity,"missing ~/.gemini now reports absent, consistent with other providers"
2026-08-17T17:32:00Z,rev_20260817172600_2k4q,antigravity,applied,~/.gemini presence is weak auth evidence for antigravity (finding antigravity-directory-false-auth),preflight entry now carries note 'weak evidence: ~/.gemini is shared with the Gemini CLI'; kept ready=true to avoid false alarms on working routes
2026-08-17T17:32:00Z,rev_20260817172600_2k4q,codex,applied,UI ignores terminal line wrapping (finding ui-redraw-ignores-terminal-wrapping),every painted line now clipped to outStream.columns with clamped ellipsis; verified by self-test suite
2026-08-17T17:32:00Z,rev_20260817172600_2k4q,codex,applied,warning-filter discards stdout error detail (finding warning-filter-discards-stdout-error),stderr falls back through stdout before exit code; self-test warning_only_stderr_falls_back_to_stdout green
2026-08-17T17:35:00Z,rev_20260817172902_t3st,codex,applied,Unqualified 'no server' pattern over-matches local config errors (finding overbroad-provider-outage-match),"patterns phrase-qualified ('returned: no server', parenthesized 5xx); self-test classifies_local_no_server_config_as_error green"
2026-08-17T17:35:00Z,rev_20260817172902_t3st,codex,applied,clipToWidth counts code units and breaks on width<2 (finding terminal-width-miscalculation),Math.max clamp added; code-unit approximation documented as deliberate for a zero-dependency script
2026-08-17T17:35:00Z,rev_20260817172902_t3st,codex,applied,Regression tests for classification matrix,"four deterministic classifyFailure self-tests added (5xx-with-auth-wording, genuine auth, local no-server config, stdout fallback)"
2026-08-17T17:35:00Z,rev_20260817172902_t3st,codex,rejected,Display-width-aware truncation utility,zero-dependency constraint; approximate clipping with clamp is the accepted trade-off
2026-08-17T17:35:00Z,rev_20260817172902_t3st,antigravity,applied,Null-guard stdout/stderr when building combined,?? '' guards added
2026-08-17T17:35:00Z,rev_20260817172902_t3st,antigravity,applied,"Math.max(0, width-2) guard in clipToWidth","clamped to Math.max(1, width-2), same intent"
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,codex,applied,Normalize logged report_path separators (finding sha256-path-mismatch),logged path now POSIX-normalized; digest verified against on-disk bytes post-change
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,codex,rejected,external variable could be computed directly (finding unused-external-variable),claim incorrect: external.length is used as the divisor; two filters read clearer than a reduce
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,codex,applied,Atomic temp-write + rename for report files,evidence files now written via .tmp + renameSync; verified live
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,codex,rejected,Tests for report creation/digest/route-count states,digest linkage live-verified this session; dedicated harness tests deferred as separate work
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,antigravity,applied,POSIX separators in logged path,same as codex finding; applied once
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,copilot,applied,Forward-slash normalization,"same normalization, corroborated by three reviewers"
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,copilot,rejected,reduce() refactor for route counts,readability preference; filters retained
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,copilot,rejected,Compute reportJson after mkdirSync,negligible micro-optimization inside a fail-soft block
2026-08-17T20:08:00Z,rev_20260817200608_0d0l,copilot,applied,Clarify sha256-over-bytes in comment,comment now states digest covers exact bytes on disk
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,codex,applied,Separate report-persisted from log-indexed states (finding persisted-report-misreported),evidence now tracks persisted and log_indexed independently; partial scenario in round-trip test proves a written report is never misreported
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,copilot,applied,Clean up orphaned tmp file when rename fails (finding race-file-handle-leak),rmSync force cleanup in nested catch before rethrow
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,codex,rejected,evidence.error not propagated (finding incomplete-error-binding),"claim incorrect: stdout report is {...report, evidence} which includes evidence.error; verified in blocked-scenario output"
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,copilot,applied,Test temp dir cleanup (finding test-no-cleanup),finally block removes all scenario dirs
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,codex,applied,"CI scenario for partial persistence (log blocked, report writable)",third scenario added and passing locally
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,copilot,applied,filter(Boolean) guard on last log line,applied in test reader
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,copilot,rejected,mkdir mode 0o700 on evidence dir,no-op on Windows; evidence is local telemetry already excluded from git
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,copilot,rejected,Random token in test artifact,mkdtemp already isolates each scenario directory
2026-08-17T23:14:00Z,rev_20260817231004_2r2g,copilot,rejected,Structured metric on persistence failure,stderr warning plus evidence field are the structured surface; no metrics pipeline exists
2026-08-17T23:14:00Z,rev_20260817225857_fxre,claude,applied,Surface persistence failures / input_sha256 binding / round-trip CI (audit session deferred to maintainer),"implemented in this session: visible failure with staged warnings, input_sha256 in report+log, three-scenario CI round trip; fsync durability and schema version remain open roadmap"
2026-08-17T23:20:00Z,rev_20260817231735_89dm,codex,applied,Narrow unsupported_client out of tier classification (finding overbroad-unsupported-client-classification),"generic OAuth code removed from regex; self-test generic_unsupported_client_not_tier proves it now classifies as auth, not tier"
2026-08-17T23:20:00Z,rev_20260817231735_89dm,codex,applied,"Deterministic tests: outages retry once, auth/tier never",retry policy extracted to pure shouldRetryStatus; self-test retries_outages_only covers all statuses
2026-08-17T23:20:00Z,rev_20260817231735_89dm,antigravity,applied,Named constant for retry delay,PROVIDER_RETRY_DELAY_MS extracted
2026-08-17T23:20:00Z,rev_20260817231735_89dm,antigravity,applied,Drop redundant /i flag on lowercased input,flag removed
2026-08-17T23:20:00Z,rev_20260817231735_89dm,copilot,rejected,Extract classification regex to named constant,single-use pattern; adjacent comment documents intent
2026-08-17T23:20:00Z,rev_20260817231735_89dm,copilot,rejected,Multi-line statusIcon formatting,formatting preference; line remains scannable
2026-08-17T23:20:00Z,rev_20260817231735_89dm,codex,rejected,Injectable retry delay to keep tests fast,"self-test exercises the pure decision function, not the sleep; suite stays fast without injection"
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,claude,recommended,Keep --stream stderr JSONL-pure on evidence persistence failure,reproduced: a forced report-write failure emits one plain-text WARNING among JSON events; source was not modified in this audit
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,claude,rejected,Extract persistence into a helper,refactor preference; the localized inline block is readable and no independent logic defect follows from its placement
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,claude,recommended,Flush human persistence warning after pretty UI finish,same confirmed channel/UI ownership issue; buffer the warning for pretty mode and emit structured JSON for stream mode
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,claude,rejected,Record a pre-redaction input digest,input_sha256 intentionally binds the exact sanitized reviewer payload; secret_redactions already signals divergence and hashing secret-bearing low-entropy input is an avoidable disclosure risk
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,claude,recommended,Add subprocess timeout and table-drive persistence CI scenarios,timeout or a self-excluded reviewer removes future runner-image hangs; table-driven formatting is optional
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,antigravity,rejected,Clean temporary report files after an unhandled signal,a kill can interrupt any cleanup handler; orphaned unindexed temp files do not create false persisted evidence and startup cleanup would be a separate policy
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,antigravity,rejected,Stream SHA-256 for very large sanitized payloads,"the dispatcher caps input at 120000 bytes, so streaming adds complexity without meaningful memory benefit"
2026-08-17T23:30:00Z,rev_20260817232122_8jvh,claude,recommended,Clarify that report_sha256 covers the stored report rather than stdout,confirmed semantic ambiguity; rename to stored_report_sha256 or add an explicit covers field
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,recommended,Extract one-shot retry into an invokeWithRetry helper with integration tests,"the predicate is tested but actual call count, result replacement, and second-outage termination are not"
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,recommended,Record attempts and retriedFrom in reviewer evidence,the current report cannot distinguish a first-attempt success from an outage recovered by retry
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,recommended,Show retry state in pretty UI,confirmed statically: retry emits only when stream mode is active and has no UI note
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,rejected,Add retry jitter,there is only one retry per independent provider route; synchronized repeated retries are not present in the current design
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,rejected,Hoist the retired-tier regex to a named constant,single-use naming preference; the adjacent comment already documents scope
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,rejected,Make retry sleep cancellation-aware,the default interrupt terminates the Node process; no application-level cancellation token exists to integrate
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,antigravity,recommended,Make retry delay configurable for tests,dependency injection through an invokeWithRetry helper enables deterministic zero-delay wiring tests without changing production policy
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,antigravity,rejected,Use exponential backoff or jitter if retries expand,conditional future advice; retries have not expanded beyond one attempt
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,recommended,Document ineligible_tier in every status vocabulary and consumer,confirmed: d029758 adds the runtime status and icon but momm/SKILL.md and invocation-prompts.md do not enumerate it
2026-08-17T23:30:00Z,rev_20260817232450_6ve7,claude,rejected,Treat total retry wall time as a duration defect,"wall duration should include the failed attempt and backoff; attempts metadata is needed for interpretation, not a reset clock"
2026-08-17T23:42:00Z,rev_20260817233742_47qr,codex,applied,Probe grok installation before claiming it absent (finding grok-installation-unchecked),grok branch now runs commandVersion and reports installed-but-unverified vs not-installed distinctly
2026-08-17T23:42:00Z,rev_20260817233742_47qr,codex,applied,Count double-outage calls and retry notifications in retry test,self-test now asserts exactly 2 invocations and exactly 1 retry signal on persistent outage
2026-08-17T23:42:00Z,rev_20260817233742_47qr,copilot,applied,Named constant for stored_report_bytes,"REPORT_DIGEST_COVERS extracted, used in both emit sites"
2026-08-17T23:42:00Z,rev_20260817233742_47qr,copilot,rejected,Rename invoker parameter,name is clear in context
2026-08-17T23:42:00Z,rev_20260817233742_47qr,copilot,rejected,Named constant for CI subprocess timeout,single-use value in a test script; inline with comment
2026-08-18T00:02:00Z,rev_20260817235809_61zx,codex,applied,Render candidate routes distinctly in live UI (finding candidate-route-ui-misclassified),candidates (auth n/a + note) now render their note dimmed instead of a misleading auth label
2026-08-18T00:02:00Z,rev_20260817235809_61zx,copilot,applied,parseInt with radix for node version (finding version-parse-empty-string),"Number.parseInt(v,10) with Number.isFinite guard; non-finite parse never blocks"
2026-08-18T00:02:00Z,rev_20260817235809_61zx,codex,rejected,Guard runs after parse (finding runtime-guard-runs-after-parse),"accepted limitation, now documented in-code: pre-ES2020 runtimes die at parse; the guard covers parseable-but-unsupported versions"
2026-08-18T00:02:00Z,rev_20260817235809_61zx,antigravity,rejected,note field not set on all paths (finding missing-note-field-conditional),note is optional by design; all renderers null-guard it
2026-08-18T00:02:00Z,rev_20260817235809_61zx,codex,applied,Process-level --version test,self-test spawns the script with --version and asserts exit 0 plus version line
2026-08-18T00:02:00Z,rev_20260817235809_61zx,codex,rejected,Link docs instead of iex one-liner for grok,hint quotes the vendor's official documented install command and cites x.ai/cli as its source
2026-08-18T00:02:00Z,rev_20260817235809_61zx,antigravity,rejected,Platform-tailored install hints,single string names both paths; zero-dependency simplicity wins
2026-08-18T00:02:00Z,rev_20260817235809_61zx,copilot,rejected,Merge INSTALL_HINTS/LOGIN_HINTS into one map,parallel maps are simple and both are completeness-tested
2026-08-18T00:02:00Z,rev_20260817235809_61zx,copilot,rejected,Derive knownAdapters from INSTALL_HINTS keys,INSTALL_HINTS includes non-adapter candidates (grok); explicit set is the safer source of truth
